init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:530000, readreq:0, wrtreq:475674, hit:252186, readhit:0, flush_ssd_blk:475674 flush_hdd_blk:0
totalreq:540000, readreq:0, wrtreq:485166, hit:257099, readhit:0, flush_ssd_blk:485166 flush_hdd_blk:0
totalreq:550000, readreq:0, wrtreq:494687, hit:262533, readhit:0, flush_ssd_blk:494687 flush_hdd_blk:0
totalreq:560000, readreq:0, wrtreq:503275, hit:268059, readhit:0, flush_ssd_blk:503275 flush_hdd_blk:0
totalreq:570000, readreq:0, wrtreq:511775, hit:272245, readhit:0, flush_ssd_blk:511775 flush_hdd_blk:0
totalreq:580000, readreq:0, wrtreq:520923, hit:278527, readhit:0, flush_ssd_blk:520923 flush_hdd_blk:0
totalreq:590000, readreq:0, wrtreq:530200, hit:283598, readhit:0, flush_ssd_blk:530200 flush_hdd_blk:0
totalreq:600000, readreq:0, wrtreq:540035, hit:288805, readhit:0, flush_ssd_blk:540035 flush_hdd_blk:0
totalreq:610000, readreq:0, wrtreq:549623, hit:293240, readhit:0, flush_ssd_blk:549623 flush_hdd_blk:0
totalreq:620000, readreq:0, wrtreq:558535, hit:296999, readhit:0, flush_ssd_blk:558535 flush_hdd_blk:0
totalreq:630000, readreq:0, wrtreq:567485, hit:301782, readhit:0, flush_ssd_blk:567485 flush_hdd_blk:0
totalreq:640000, readreq:0, wrtreq:576339, hit:307022, readhit:0, flush_ssd_blk:576339 flush_hdd_blk:0
totalreq:650000, readreq:0, wrtreq:585378, hit:311727, readhit:0, flush_ssd_blk:585378 flush_hdd_blk:0
totalreq:660000, readreq:0, wrtreq:594379, hit:316561, readhit:0, flush_ssd_blk:594379 flush_hdd_blk:0
totalreq:670000, readreq:0, wrtreq:603275, hit:321198, readhit:0, flush_ssd_blk:603275 flush_hdd_blk:0
totalreq:680000, readreq:0, wrtreq:612319, hit:326487, readhit:0, flush_ssd_blk:612319 flush_hdd_blk:0
totalreq:690000, readreq:0, wrtreq:621062, hit:331198, readhit:0, flush_ssd_blk:621062 flush_hdd_blk:0
totalreq:700000, readreq:0, wrtreq:629927, hit:336346, readhit:0, flush_ssd_blk:629927 flush_hdd_blk:0
totalreq:710000, readreq:0, wrtreq:638876, hit:341587, readhit:0, flush_ssd_blk:638876 flush_hdd_blk:0
totalreq:720000, readreq:0, wrtreq:648057, hit:347732, readhit:0, flush_ssd_blk:648057 flush_hdd_blk:0
totalreq:730000, readreq:0, wrtreq:657043, hit:352917, readhit:0, flush_ssd_blk:657043 flush_hdd_blk:0
totalreq:740000, readreq:0, wrtreq:665667, hit:358255, readhit:0, flush_ssd_blk:665667 flush_hdd_blk:0
totalreq:750000, readreq:0, wrtreq:673796, hit:363428, readhit:0, flush_ssd_blk:673796 flush_hdd_blk:0
totalreq:760000, readreq:0, wrtreq:682367, hit:368713, readhit:0, flush_ssd_blk:682367 flush_hdd_blk:0
totalreq:770000, readreq:0, wrtreq:690500, hit:373440, readhit:0, flush_ssd_blk:690500 flush_hdd_blk:0
totalreq:780000, readreq:0, wrtreq:698693, hit:378593, readhit:0, flush_ssd_blk:698693 flush_hdd_blk:0
totalreq:790000, readreq:0, wrtreq:707241, hit:383059, readhit:0, flush_ssd_blk:707241 flush_hdd_blk:0
totalreq:800000, readreq:0, wrtreq:715568, hit:388840, readhit:0, flush_ssd_blk:715568 flush_hdd_blk:0
totalreq:810000, readreq:0, wrtreq:723354, hit:393664, readhit:0, flush_ssd_blk:723354 flush_hdd_blk:0
